id,name,active
530,anim_slowbump_getout_01,1
531,anim_feedback_bequiet_01,1
532,anim_wakeword_idk_01,1
533,anim_inspectheldcube_timeout_01,1
534,anim_movement_lookinplaceforfaces_long_head_angle_20,1
535,anim_onboarding_cube_success_getout_01,1
536,anim_holiday_hny_fireworks_01,1
537,anim_movement_forward_01,1
538,anim_launch_wakeup_drivingloop_01,1
539,anim_referencing_squint_02,1
540,anim_lookatphone_loop_01,1
541,anim_eyepose_worried,1
542,anim_meetvictor_sayname_03,1
543,anim_explorer_scan_right_01,1
544,anim_freeplay_reacttoface_sayname_01_head_angle_40,1
545,anim_pounce_lookgetout_01,1
546,anim_dancebeat_headliftbody_right_large_01,1
547,anim_explorer_idle_01_head_angle_-20,1
548,anim_rtp_blackjack_playeryes_01,1
549,anim_power_onoff_01,1
550,anim_keepaway_bored_idle_02,1
551,anim_hiking_driving_loop_03,1
552,anim_keepaway_getout_frustrated_01,1
553,anim_rtsound_oncharger_observe_120left_01,1
554,anim_reacttoblock_lifteffortroll_01,1
555,anim_howold_getin_odd_01,1
556,anim_neutral_eyes_01,1
557,anim_lookinplaceforfaces_keepalive_long_03_head_angle_40,1
558,anim_keepaway_idle_glance_01,1
559,anim_launch_drivingloop_03,1
560,anim_volume_stage_min,1
561,anim_knowledgegraph_answer_01,1
562,anim_dizzy_pickup_03,1
563,anim_pause_idle_02,1
564,anim_hiking_driving_loop_06,1
565,anim_rtshake_drive_getout_01,1
566,anim_onboarding_eyecontact_loop_01,1
567,anim_codelab_getin_01,1
568,anim_lookinplaceforfaces_keepalive_short_head_angle_-20,1
569,anim_slowpoke_getin_01,1
570,anim_slowpoke_loop_01,1
571,anim_reacttoblock_dropsuccess_01,1
572,anim_eyecontact_squint_01_head_angle_20,1
573,anim_eyecontact_lookloop_02_head_angle_40,1
574,anim_heldonpalm_rolloff_01,1
575,anim_dancebeat_scoot_left_01,1
576,anim_eyecontact_squint_01,1
577,anim_feedback_meanwords_01,1
578,anim_rtp_blackjack_playerno_01,1
579,anim_message_record_reaction_01,1
580,anim_wakeword_groggyeyes_listenloop_01,1
581,anim_eyepose_focused,1
582,anim_eyecontact_smile_01,1
583,anim_powersavemode_temperature_01,1
584,anim_timercancel_02,1
585,anim_onboarding_lookaround_loop_01,1
586,anim_referencing_giggle_01,1
587,anim_reacttoblock_react_01_head_angle_20,1
588,anim_spinner_tap_01,1
589,anim_reacttocliff_turtleroll_04,1
590,anim_rtsound_offcharger_asleep_120left_01,1
591,anim_generic_look_up_idle_01,1
592,anim_rtpickup_loop_04,1
593,anim_hiking_lookaround_03,1
594,anim_keepaway_bored_idle_01,1
595,anim_wakeword_turn_left_01,1
596,anim_eyecolorreact_getout_01,1
597,anim_volume_stage_04,1
598,anim_handdetection_drive_loop_01,1
599,anim_rtpkeepaway_reacttocube_03,1
600,anim_greeting_goodnight_01,1
601,anim_driving_upset_loop_03,1
602,anim_chargerdocking_comeoff_straight_03,1
603,anim_reacttocliff_stuckonedge_alert_left_01,1
604,anim_inspectheldcube_loop_04,1
605,anim_qa_sync_treads,1
606,anim_qa_lift_updown,1
607,anim_reacttocliff_reaction_rear_left_01,1
608,anim_dancebeat_getready_01,1
609,anim_hiking_driving_start_01,1
610,anim_rtshake_getin_01,1
611,anim_movement_lookinplaceforfaces_long_head_angle_-20,1
612,anim_cubeconnection_connectionfailure_01,1
613,anim_explorer_center_right_01,1
614,anim_knowledgegraph_getin_01,1
615,anim_pairing_icon_update_error,1
616,anim_dancebeat_getout_01,1
617,anim_explorer_idle_01_head_angle_-10,1
618,anim_explorer_idle_03_head_angle_30,1
619,anim_observing_self_absorbed_01,1
620,anim_rtmotion_lookup_01,1
621,anim_eyepose_unsure,1
622,anim_rtmotion_right_getout_01,1
623,anim_wakeword_turn_left_135degrees_01,1
624,anim_volume_stage_02,1
625,anim_explorer_idle_03,1
626,anim_meetvictor_getin_01_head_angle_40,1
627,anim_gazing_lookatsurfaces_getin_right_01,1
628,anim_keepaway_stopshort_01,1
629,anim_dancebeat_listening_02,1
630,anim_weather_sunny_01,1
631,anim_gazing_lookatsurfaces_getin_left_01,1
632,anim_explorer_planning_getout_02,1
633,anim_pounce_fail_02,1
